SECT_NAME,SECT_CODE,LIE_NAME,LIE_CODE,LI_NO,SDFKEY,SDFNAME,area
南港區,6300900,鴻福里,6300900013,008,6300900013008,鴻福里8鄰,2784.31050776000
萬華區,6300700,萬壽里,6300700002,001,6300700002001,萬壽里1鄰,15675.10169210000
信義區,6300200,永春里,6300200018,019,6300200018019,永春里19鄰,6040.93541073000
信義區,6300200,敦厚里,6300200007,008,6300200007008,敦厚里8鄰,4253.16717526000
信義區,6300200,永春里,6300200018,018,6300200018018,永春里18鄰,16562.20514050000
信義區,6300200,六藝里,6300200010,010,6300200010010,六藝里10鄰,4791.03537131000
中正區,6300500,幸福里,6300500026,002,6300500026002,幸福里2鄰,52503.26599550000
大安區,6300300,華聲里,6300300054,015,6300300054015,華聲里15鄰,11370.63468410000
信義區,6300200,永春里,6300200018,006,6300200018006,永春里6鄰,6202.81842672000
南港區,6300900,鴻福里,6300900013,014,6300900013014,鴻福里14鄰,5738.81439897000
信義區,6300200,永春里,6300200018,005,6300200018005,永春里5鄰,7118.82952969000
信義區,6300200,五全里,6300200013,016,6300200013016,五全里16鄰,3056.24789555000
萬華區,6300700,西門里,6300700003,001,6300700003001,西門里1鄰,5065.85198778000
信義區,6300200,大道里,6300200026,004,6300200026004,大道里4鄰,8091.29434903000
中正區,6300500,梅花里,6300500025,015,6300500025015,梅花里15鄰,12652.41038100000
大安區,6300300,誠安里,6300300009,013,6300300009013,誠安里13鄰,5820.78468929000
信義區,6300200,新仁里,6300200005,006,6300200005006,新仁里6鄰,1204.74467848000
信義區,6300200,新仁里,6300200005,009,6300200005009,新仁里9鄰,3313.46378026000
信義區,6300200,五全里,6300200013,017,6300200013017,五全里17鄰,7938.73642722000
大安區,6300300,光武里,6300300010,022,6300300010022,光武里22鄰,3400.19840906000
信義區,6300200,敦厚里,6300200007,016,6300200007016,敦厚里16鄰,6389.72678376000
大安區,6300300,光武里,6300300010,012,6300300010012,光武里12鄰,4779.31818503000
信義區,6300200,六藝里,6300200010,008,6300200010008,六藝里8鄰,4390.19734342000
信義區,6300200,六藝里,6300200010,009,6300200010009,六藝里9鄰,3950.63672338000
中正區,6300500,幸福里,6300500026,007,6300500026007,幸福里7鄰,11306.31515460000
中正區,6300500,光復里,6300500023,009,6300500023009,光復里9鄰,69069.76705660000
信義區,6300200,五全里,6300200013,018,6300200013018,五全里18鄰,3359.41503675000
南港區,6300900,中研里,6300900017,012,6300900017012,中研里12鄰,18933.63610920000
萬華區,6300700,西門里,6300700003,003,6300700003003,西門里3鄰,6671.04384332000
大安區,6300300,光武里,6300300010,021,6300300010021,光武里21鄰,3401.63094605000
大安區,6300300,昌隆里,6300300008,007,6300300008007,昌隆里7鄰,5282.63829046000
中正區,6300500,幸福里,6300500026,003,6300500026003,幸福里3鄰,6146.47405007000
信義區,6300200,敦厚里,6300200007,005,6300200007005,敦厚里5鄰,6489.81417207000
南港區,6300900,鴻福里,6300900013,009,6300900013009,鴻福里9鄰,2700.18593133000
中正區,6300500,梅花里,6300500025,013,6300500025013,梅花里13鄰,2537.76634622000
大安區,6300300,昌隆里,6300300008,014,6300300008014,昌隆里14鄰,6635.41915787000
信義區,6300200,大道里,6300200026,002,6300200026002,大道里2鄰,3751.34102853000
信義區,6300200,四維里,6300200017,016,6300200017016,四維里16鄰,3041.51712034000
信義區,6300200,四維里,6300200017,014,6300200017014,四維里14鄰,4571.82215929000
大安區,6300300,誠安里,6300300009,017,6300300009017,誠安里17鄰,5476.56427623000
大安區,6300300,光武里,6300300010,011,6300300010011,光武里11鄰,4218.23315255000
南港區,6300900,鴻福里,6300900013,016,6300900013016,鴻福里16鄰,4030.27150141000
大安區,6300300,建安里,6300300049,004,6300300049004,建安里4鄰,6250.09254054000
中正區,6300500,光復里,6300500023,007,6300500023007,光復里7鄰,10358.76896360000
南港區,6300900,鴻福里,6300900013,017,6300900013017,鴻福里17鄰,53170.12403760000
大安區,6300300,光武里,6300300010,023,6300300010023,光武里23鄰,6217.54253331000
中正區,6300500,光復里,6300500023,006,6300500023006,光復里6鄰,13799.76549000000
信義區,6300200,四維里,6300200017,019,6300200017019,四維里19鄰,904.12621935600
信義區,6300200,四維里,6300200017,020,6300200017020,四維里20鄰,1163.92107995000
信義區,6300200,五全里,6300200013,020,6300200013020,五全里20鄰,1349.27410157000
南港區,6300900,鴻福里,6300900013,010,6300900013010,鴻福里10鄰,3218.49503643000
中正區,6300500,黎明里,6300500024,008,6300500024008,黎明里8鄰,16287.04534970000
信義區,6300200,五全里,6300200013,021,6300200013021,五全里21鄰,3290.53208986000
信義區,6300200,新仁里,6300200005,007,6300200005007,新仁里7鄰,4091.63675295000
大安區,6300300,誠安里,6300300009,003,6300300009003,誠安里3鄰,6042.59266685000
大安區,6300300,誠安里,6300300009,005,6300300009005,誠安里5鄰,5522.93328818000
萬華區,6300700,西門里,6300700003,002,6300700003002,西門里2鄰,5290.00263725000
中正區,6300500,幸福里,6300500026,005,6300500026005,幸福里5鄰,28398.96154050000
中正區,6300500,幸福里,6300500026,012,6300500026012,幸福里12鄰,15360.16559360000
信義區,6300200,敦厚里,6300200007,017,6300200007017,敦厚里17鄰,3671.82953950000
大安區,6300300,誠安里,6300300009,011,6300300009011,誠安里11鄰,6571.90019963000
南港區,6300900,鴻福里,6300900013,011,6300900013011,鴻福里11鄰,4018.97491752000
大安區,6300300,光武里,6300300010,010,6300300010010,光武里10鄰,4844.59938012000
萬華區,6300700,菜園里,6300700005,005,6300700005005,菜園里5鄰,3701.90207020000
萬華區,6300700,西門里,6300700003,005,6300700003005,西門里5鄰,12300.08414000000
大安區,6300300,華聲里,6300300054,013,6300300054013,華聲里13鄰,2599.52133103000
信義區,6300200,興雅里,6300200006,012,6300200006012,興雅里12鄰,5509.20235225000
信義區,6300200,四維里,6300200017,015,6300200017015,四維里15鄰,2119.28738046000
信義區,6300200,新仁里,6300200005,008,6300200005008,新仁里8鄰,2444.75055847000
信義區,6300200,永春里,6300200018,007,6300200018007,永春里7鄰,4093.45258164000
信義區,6300200,五全里,6300200013,022,6300200013022,五全里22鄰,2367.34613480000
中正區,6300500,幸福里,6300500026,006,6300500026006,幸福里6鄰,2428.61647132000
大安區,6300300,建安里,6300300049,005,6300300049005,建安里5鄰,5572.15392937000
中正區,6300500,梅花里,6300500025,001,6300500025001,梅花里1鄰,26810.06518900000
信義區,6300200,五全里,6300200013,019,6300200013019,五全里19鄰,3590.16505677000
大安區,6300300,華聲里,6300300054,005,6300300054005,華聲里5鄰,2316.81636642000
信義區,6300200,四維里,6300200017,009,6300200017009,四維里9鄰,3853.95802982000
中正區,6300500,幸福里,6300500026,008,6300500026008,幸福里8鄰,35187.00697280000
信義區,6300200,大道里,6300200026,003,6300200026003,大道里3鄰,3071.23192778000
萬華區,6300700,西門里,6300700003,004,6300700003004,西門里4鄰,7305.22159312000
大安區,6300300,華聲里,6300300054,018,6300300054018,華聲里18鄰,3916.39351480000
信義區,6300200,敦厚里,6300200007,018,6300200007018,敦厚里18鄰,3527.52325410000
萬華區,6300700,菜園里,6300700005,009,6300700005009,菜園里9鄰,39632.35123660000
大安區,6300300,光武里,6300300010,025,6300300010025,光武里25鄰,8535.43876633000
信義區,6300200,六藝里,6300200010,011,6300200010011,六藝里11鄰,5501.43355497000
大安區,6300300,光武里,6300300010,024,6300300010024,光武里24鄰,9287.25129210000
南港區,6300900,舊莊里,6300900016,022,6300900016022,舊莊里22鄰,10145.56352080000
大安區,6300300,昌隆里,6300300008,013,6300300008013,昌隆里13鄰,4168.95960214000
大安區,6300300,昌隆里,6300300008,006,6300300008006,昌隆里6鄰,3054.51981912000
大安區,6300300,車層里,6300300055,002,6300300055002,車層里2鄰,3493.63371549000
大安區,6300300,光武里,6300300010,009,6300300010009,光武里9鄰,5163.39181659000
信義區,6300200,六藝里,6300200010,013,6300200010013,六藝里13鄰,4618.28659621000
萬華區,6300700,菜園里,6300700005,006,6300700005006,菜園里6鄰,5577.32472660000
萬華區,6300700,菜園里,6300700005,004,6300700005004,菜園里4鄰,5029.94190027000
大安區,6300300,光武里,6300300010,005,6300300010005,光武里5鄰,8327.06850360000
南港區,6300900,成福里,6300900011,019,6300900011019,成福里19鄰,11046.07939550000
信義區,6300200,長春里,6300200015,009,6300200015009,長春里9鄰,6636.21346663000
萬華區,6300700,西門里,6300700003,006,6300700003006,西門里6鄰,17835.91930380000
大安區,6300300,建安里,6300300049,006,6300300049006,建安里6鄰,6049.41950273000
信義區,6300200,大道里,6300200026,006,6300200026006,大道里6鄰,4171.33124761000
信義區,6300200,長春里,6300200015,006,6300200015006,長春里6鄰,3286.81320684000
南港區,6300900,鴻福里,6300900013,012,6300900013012,鴻福里12鄰,3083.31572390000
大安區,6300300,建安里,6300300049,010,6300300049010,建安里10鄰,5868.03612128000
信義區,6300200,永春里,6300200018,008,6300200018008,永春里8鄰,3951.73218323000
大安區,6300300,車層里,6300300055,003,6300300055003,車層里3鄰,5867.44411320000
信義區,6300200,長春里,6300200015,005,6300200015005,長春里5鄰,6076.37274112000
信義區,6300200,興雅里,6300200006,010,6300200006010,興雅里10鄰,3751.16398241000
南港區,6300900,成福里,6300900011,016,6300900011016,成福里16鄰,3947.30701141000
