"統一編號","商業名稱","商業地址","登記狀態"
"78512978","鎣豐食品行","桃園市桃園區會稽里春日路１１４９號１樓","歇業／撤銷"
"98980231","御家麵食館","桃園市桃園區龍鳳里龍安街１１４號１樓","核准設立"
"30232581","宏藝企業社","桃園市中壢區中興里榮安五街一號一樓","歇業／撤銷"
"48922052","孚日食品坊","臺北市松山區復興北路313巷41號","歇業／撤銷"
"57986534","浩翔企業行","高雄市三民區覺民路８３巷２號１樓","核准設立"
"31787200","瑞興農產行","新竹縣湖口鄉和興村德興路519巷1弄7號","核准設立"
"09336462","中基食材行","臺中市西屯區何厝里何厝東二街２３號３樓之１","核准設立"
"10898779","吉嘉食品行","屏東縣東港鎮中興里朝陽街32號1樓","核准設立"
"45711841","億德商行","雲林縣東勢鄉東北村北環東路三八號一樓","歇業／撤銷"
"26541190","傳薪企業社","新北市中和區圓通路294巷11弄1之1號","核准設立"
"41064604","佳饌食品行","新北市板橋區稚暉街46巷16號","停業"
"99897464","暘昇食品行","臺中市大里區金城里上興街二段６８巷１０號１樓","歇業／撤銷"
"48896414","九象限顧問展業社","臺北市大安區忠孝東路4段162號10樓之2","核准設立"
"30160762","馨蘭國際企業社","桃園市桃園區中山里中平路166號1樓","停業"
"21300995","馨茂餐具批發行","高雄市三民區民族１路６６之２號","遷他縣市"
"40582538","大金揚商行","臺中市大雅區二和里雅潭路四段６６６號３樓之１","核准設立"
"72191942","義賢商號","臺南市鹽水區義稠里義稠107之1號","核准設立"
"09998722","雅比斯行","新北市新店區雙城路６０巷１６弄５號","歇業／撤銷"
"99990166","艾俏兒企業社","臺北市萬華區內江街63號10樓之3","歇業／撤銷"
"10810205","五行力商行","臺南市安南區溪心里海佃路3段302號2樓","歇業／撤銷"
"41393824","椰合商行","新北市永和區永元路17巷6弄6號4樓","核准設立"
"26751786","滷霸天企業社","新北市三重區五華街53號1樓","歇業／撤銷"
"10436572","玉坤百貨企業商行","高雄市路竹區下坑里太平路２８９號１樓","核准設立"
"10041091","芊川商行","新北市蘆洲區中山一路７４巷４５號１樓","核准設立"
"26249006","風藤企業社","臺北市大安區大安路2段17號","歇業／撤銷"
"10566357","三立食品行","桃園市楊梅區楊江里大成路４號１樓","停業"
"26993449","春福國際企業","臺中市北屯區陳平里中清路74巷1弄43號1樓","核准設立"
"26155817","日安生活商行","新竹市東區高峰里新竹市高峰路439巷1號","核准設立"
"45474782","良益食品行","南投縣南投市營北里東閔路１０００號﹝現場不得堆棧﹞","核准設立"
"40981752","大和氏洋行","新竹縣竹北市斗崙里光明九路375號","核准設立"
"25931207","易昌醬園","高雄市三民區大昌2路121之8號9樓","核准設立"
"10108368","惠展企業行","高雄市大社區觀音里文明路２５號１樓","核准設立"
"10329159","幸福?巧克力工房","臺北市萬華區西昌街143號","廢止"
"39869936","滿滿商行","苗栗縣竹南鎮竹南里19鄰博愛街207之1號","歇業／撤銷"
"39653703","祥同興國際商行","臺中市北屯區大德里雷中街６６－１號１樓","遷他縣市"
"45290665","明仁茶莊","彰化縣埔心鄉東門村正義路４３號","停業"
"20197298","吉祥商店","嘉義縣民雄鄉中央村七七之一號","歇業／撤銷"
"25914278","東西實業社","高雄市左營區新庄仔路６５２巷１４號","核准設立"
"26471785","艾稿創意企業社","高雄市三民區建國二路２號６樓之６","核准設立"
"37915723","錦呈整合行銷企業社","新北市五股區四維路135巷6號5樓","歇業／撤銷"
"30141219","東?企業社","桃園市楊梅區梅溪里中山北路２段５６巷３８號７樓之２","歇業／撤銷"
"29390111","祿譜食品社","臺南市歸仁區看東里中山一街119號1樓","歇業／撤銷"
"40657087","五猩級麻辣鴛鴦商行","臺中市大甲區庄美里信義路９號１樓","核准設立"
"39785113","翊蜂便利商店","南投縣國姓鄉北港村長北路38-1號","核准設立"
"45652771","漢灃企業行","臺中市北屯區松竹里崇德六路１００巷１９號１樓","核准設立"
"99087675","永青科技室","新北市中和區景平路２６７之３號（現場僅供辦公室使用）","歇業／撤銷"
"10020265","健康世界館","新北市林口區民享路２之６號１樓（現場僅供辦公室使用）","歇業／撤銷"
"26935080","利生企業社","彰化縣員林市仁美里和平街8號3樓","核准設立"
"21928693","楓留企業社","嘉義市西區竹圍里中興路１２３號一樓","停業"
"26463005","棉花糖整合行銷企業社","臺南市永康區六合里中華二路379巷10號1樓","核准設立"
"37583029","雅安實業","臺南市東區虎尾里東門路3段179巷16弄16號1樓","歇業／撤銷"
"26758401","米蘭達咖啡館","新北市中和區安和路1號1、2樓","歇業／撤銷"
"77747337","大新太陽堂","臺中市太平區光華里大興十一街一０五號一樓","核准設立"
"38500265","羅莎芒迪服飾店","臺北市士林區大北路38號及38之1號1樓","歇業／撤銷"
"29220377","臻品關東煮小吃店","臺北市松山區民生東路4段56巷3弄1號1樓","核准設立"
"41393839","饌食水產企業社","新北市永和區永元路17巷6弄6號4樓","核准設立"
"09662819","泓權企業社","桃園市龍潭區八德里聖亭路八德段１１巷３７號１樓","歇業／撤銷"
"99994199","合風量子企業社","新北市汐止區伯爵街９６巷４２號２樓（現場僅供辦公室使用）","歇業／撤銷"
"41098230","葛來美食品行","新北市淡水區忠寮里口湖子1之7號","核准設立"
"21379795","翠頂貿易行","高雄市苓雅區武廟路４５之１號１樓","歇業／撤銷"
"26366025","鴻梁通訊行","臺北市中山區新生北路3段11巷35號","歇業／撤銷"
"99145387","帝爾精品批發行","新北市中和區大仁街２０巷４２之２號（現場僅供辦公室使用）","核准設立"
"45298913","錢運來投注站","苗栗縣後龍鎮北龍里8鄰中山路65號1樓","歇業／撤銷"
"09280328","彰億企業社","彰化縣社頭鄉崙雅村民生路４１９巷２２號１樓（限辦公室使用）","核准設立"
"80921106","?米烘焙屋","新北市土城區青雲路２１３號","歇業／撤銷"
"41047373","菿喫甘呷餐飲企業社","桃園市中壢區龍東里龍東路15號1樓","核准設立"
"10084921","神采飛揚企業社","新北市樹林區中山路１段１１３號５樓之１（現場僅供辦公室使用）","核准設立"
"38694608","聽道企業行","高雄市三民區大順二路９２７號１３樓","核准設立"
"21420680","文森美容企業社","臺中市沙鹿區洛泉里日新街６８號１樓","歇業／撤銷"
"10433414","山川食品烘焙坊","臺南市南區郡南里德興路139巷56號1樓","歇業／撤銷"
"45397929","木棉花企業社","臺中市北屯區平順里昌平路一段４００號４樓之１","歇業／撤銷"
"48930258","法瑪企業社","臺北市內湖區內湖路1段629巷101弄2號3樓","核准設立"
"45816057","億興食品行","彰化縣彰化市磚?里彰草路４４３巷１９弄６號","歇業／撤銷"
"09082565","笙如意企業社","臺南市鹽水區岸內里北門路1巷3弄42號1樓","歇業／撤銷"
"10026438","連傑企業行","基隆市暖暖區碇內街343號4樓","核准設立"
