CID,CNAME,CADDR,Response_Address,Response_X,Response_Y
12782417,大澲室內裝修有限公司,臺北市文山區景文街46之1號8樓,臺北市文山區景行里2鄰景文街46之1號,304636.311,2764930.57
12824129,百霆室內裝修工程有限公司,臺北市松山區南京東路5段291巷29弄13號,臺北市松山區安平里18鄰南京東路五段291巷29弄13號,307169.947,2771761.721
12828808,立勤室內裝修有限公司,臺北市大安區復興南路1段62號2樓之3,臺北市大安區誠安里15鄰復興南路一段62號,304853.152,2770822.086
12851841,澔漢室內裝修有限公司,臺北市中山區建國北路2段129號5樓,臺北市中山區江山里7鄰建國北路二段129號,304212.476,2772532.814
12853881,大廣室內裝修設計有限公司,臺北市大安區延吉街120號3樓,臺北市大安區車層里12鄰延吉街120號,305967.24,2770369.31
12856212,住福物業管理室內裝修有限公司,臺北市大安區敦化南路1段138號1樓,臺北市大安區光武里14鄰敦化南路一段138號,305345.211,2770812.247
12863537,博洋室內裝修有限公司,臺北市大同區太原路54之1號3樓,臺北市大同區建明里12鄰太原路54之1號,301993.81,2771531.244
12871852,亞太寰宇室內裝修設計股份有限公司,臺北市大安區忠孝東路3段217巷2弄9之1號2樓,臺北市大安區昌隆里2鄰忠孝東路三段217巷2弄9之1號,304516.861,2770585.132
12877342,力荷室內裝修設計工程有限公司,臺北市大安區復興南路1段352號3樓之3,臺北市大安區和安里3鄰復興南路一段352號,304829.166,2769825.38
12877589,華瀚風格室內裝修設計工程有限公司,臺北市大安區光復南路１０２號３樓之２,臺北市大安區華聲里1鄰光復南路102號,306252.915,2770707.563
12878996,行美室內裝修工程有限公司,臺北市中正區金華街59號1樓,臺北市中正區新營里21鄰金華街59號,302566.484,2769380.382
12880487,煜格室內裝修工程有限公司,臺北市大安區仁愛路4段376號6樓之3,臺北市大安區光信里10鄰仁愛路四段376號,306081.862,2770035.792
12899789,邑坴室內裝修工程有限公司,臺北市松山區復興北路179號9樓之13,臺北市松山區中正里32鄰復興北路179號,304918.689,2771906.385
