"Response_X","Response_Y","R_cat","P_cat","M_cat"
301548.68,2768978.978,1,0,1
301677.802,2768933.243,5,1,1
301251.741,2769225.798,1,0,0
300354.239,2769877.507,1,0,0
300354.239,2769869.251,1,0,0
300315.561,2769871.505,1,0,0
300316.082,2769863.539,1,0,0
300324.27,2769858.511,1,0,0
300316.33,2769859.789,1,0,0
300281.536,2769869.51,1,0,0
300547.558,2769876.867,1,0,0
300271.81,2769869.735,1,0,0
300356.598,2769886.084,1,0,0
300343.831,2769889.144,2,0,1
300343.597,2769891.027,1,0,0
300255.46,2769870.855,1,0,0
300252.242,2769867.875,1,0,0
300238.745,2769870.273,3,0,0
300274.005,2769879.666,1,0,0
300235.7,2769870.351,1,0,0
300268.726,2769879.969,3,0,0
300266.657,2769880.018,1,0,0
300261.706,2769880.135,1,0,0
300258.273,2769879.937,1,0,0
300251.666,2769880.374,1,0,0
300239.877,2769880.653,2,0,0
300228.491,2769880.924,1,0,0
300922.947,2769735.09,1,0,0
300888.626,2769786.101,1,0,0
300694.87,2769859.166,1,0,0
300822.655,2769833.852,1,0,0
300759.959,2769860.166,1,0,0
300559.357,2769865.846,3,0,0
300736.15,2769864.655,1,0,0
300550.385,2769865.792,2,0,0
300547.097,2769865.772,1,0,0
300536.111,2769866.208,1,0,0
300519.293,2769866.7,1,0,0
306839.701,2772261.002,2,0,0
306825.66,2772259.996,1,0,0
306809.465,2772236.82,1,0,0
306818.008,2772266.772,1,0,0
306815.167,2772260.784,1,0,0
306955.316,2772256.878,1,0,0
306802.598,2772289.198,2,0,0
306742.166,2772272.994,8,1,0
306880.649,2772266.07,1,0,0
306894.459,2772318.286,10,3,3
306976.041,2772309.387,2,0,0
306975.189,2772320.139,1,0,0
306943.348,2772322.68,1,0,0
306955.594,2772323.937,1,0,0
306968.223,2772325.194,1,0,0
306769.642,2772303.349,1,0,0
306759.517,2772302.591,2,0,0
306750.409,2772306.822,1,0,0
306695.383,2772302.371,1,0,0
306809.75,2772327.717,1,0,0
306797.347,2772334.775,1,1,0
306817.676,2772311.697,1,0,0
306824.66,2772312.175,1,0,0
306781.078,2772328.406,1,0,0
307019.145,2772621.543,1,0,0
306818.904,2772542.983,1,0,0
306817.069,2772566.563,1,0,0
306854.955,2772586.689,0,0,1
306857.043,2772586.89,1,0,0
306898.271,2772592.893,1,0,0
306814.073,2772599.653,1,0,0
306813.388,2772608.03,2,0,1
306842.142,2772625.826,2,0,0
306807.971,2772665.79,2,0,0
306807.137,2772674.174,3,0,0
306836.37,2772684.174,2,0,0
306666.767,2772689.154,1,0,0
306788.394,2772682.875,2,0,0
306835.816,2772690.261,2,0,0
306802.979,2772732.176,1,0,0
306871.775,2772812.342,1,0,0
307043.905,2772820.603,1,0,0
307073.954,2772825.475,0,0,1
306847.966,2772022.725,5,0,0
306905.719,2771797.672,6,3,1
306775.303,2772064.738,3,0,0
307040.317,2771963.711,1,2,0
306925.687,2772020.639,1,0,0
306989.398,2772086.807,1,0,0
307007.235,2772121.883,1,0,0
306983.586,2772145.756,0,0,1
306762.802,2772213.699,0,0,1
306727.212,2772219.244,0,0,1
306879.635,2771866.513,1,0,0
306862.066,2771852.332,9,6,2
300685.697,2779947.327,1,1,1
300685.52,2779887.13,1,1,0
300658.974,2779907.406,1,0,0
