"CID","CNAME","CADDR","IND_CAT","Response_Address","Response_X","Response_Y","city","dist","village","neighbour"
"38458267","佳泰商行","臺北市中山區八德路2段318號(1樓)","R_cat","臺北市中山區埤頭里15鄰八德路二段318號","304782.23",2771115.634,"臺北市","中山區","埤頭里","15鄰"
"15630548","光華實業社","臺北市大安區八德路2段31號1樓","R_cat","臺北市大安區民輝里19鄰八德路二段31號","303864.296",2770839.884,"臺北市","大安區","民輝里","19鄰"
"38555155","四季庭小吃店","臺北市中山區八德路2段323號","R_cat","臺北市中山區朱崙里16鄰八德路二段323號","304799.936",2771146.803,"臺北市","中山區","朱崙里","16鄰"
"25571358","北京洪運軒飯莊","臺北市中山區八德路2段331號","R_cat","臺北市中山區朱崙里16鄰八德路二段331號","304814.526",2771150.812,"臺北市","中山區","朱崙里","16鄰"
"38455418","金億發彩券行","臺北市中山區八德路2段341號1樓","R_cat","臺北市中山區朱崙里16鄰八德路二段341號","304845.417",2771159.258,"臺北市","中山區","朱崙里","16鄰"
"31845567","充滿豆豆藝文坊","臺北市松山區八德路2段346巷5弄25號1樓","R_cat","臺北市松山區中崙里11鄰八德路二段346巷5弄25號","305047.109",2771116.993,"臺北市","松山區","中崙里","11鄰"
"38556197","赫世食堂","臺北市松山區八德路2段346巷7弄42號1樓","R_cat","臺北市松山區中崙里15鄰八德路二段346巷7弄42號","305078.768",2771062.055,"臺北市","松山區","中崙里","15鄰"
"38565392","登鼎商行","臺北市松山區八德路2段346巷7弄42號1樓","R_cat","臺北市松山區中崙里15鄰八德路二段346巷7弄42號","305078.768",2771062.055,"臺北市","松山區","中崙里","15鄰"
"38562851","漂鳥咖啡","臺北市松山區八德路2段346巷7弄42號1樓","R_cat","臺北市松山區中崙里15鄰八德路二段346巷7弄42號","305078.768",2771062.055,"臺北市","松山區","中崙里","15鄰"
"26360599","維梅爾創藝社","臺北市松山區八德路2段348號2樓之11","R_cat","臺北市松山區中崙里5鄰八德路二段348號","305022.238",2771181.25,"臺北市","松山區","中崙里","5鄰"
"48907897","安吉儷樂活坊","臺北市松山區八德路2段354號9樓","R_cat","臺北市松山區中崙里6鄰八德路二段354號","305048.46",2771188.86,"臺北市","松山區","中崙里","6鄰"
"25580238","平頭飲品專賣店","臺北市松山區八德路2段356號","R_cat","臺北市松山區中崙里6鄰八德路二段356號","305056.38",2771191.012,"臺北市","松山區","中崙里","6鄰"
"26370724","愚狗咖啡館","臺北市松山區八德路2段358號","R_cat","臺北市松山區中崙里6鄰八德路二段358號","305068.071",2771194.006,"臺北市","松山區","中崙里","6鄰"
"26219880","好窩洋酒商行","臺北市松山區八德路2段360之3號","R_cat","臺北市松山區中崙里6鄰八德路二段360之3號","305082.092",2771181.736,"臺北市","松山區","中崙里","6鄰"
"48831779","琪翔商行","臺北市松山區八德路2段366巷12號","R_cat","臺北市松山區中崙里10鄰八德路二段366巷12號","305083.28",2771154.332,"臺北市","松山區","中崙里","10鄰"
"31878546","同學輕食咖啡店","臺北市松山區八德路2段366巷15之4號1樓","R_cat","臺北市松山區中崙里9鄰八德路二段366巷15之4號","305096.541",2771139.664,"臺北市","松山區","中崙里","9鄰"
"38549458","小王子早餐店","臺北市松山區八德路2段366巷15之7號1樓","R_cat","臺北市松山區中崙里9鄰八德路二段366巷15之7號","305096.92",2771133.907,"臺北市","松山區","中崙里","9鄰"
"38512425","吟霓工作室","臺北市松山區八德路2段366巷15之8號","R_cat","臺北市松山區中崙里9鄰八德路二段366巷15之8號","305096.673",2771130.433,"臺北市","松山區","中崙里","9鄰"
"26355322","淘氣狗寵物美容工作室","臺北市松山區八德路2段366巷16號","R_cat","臺北市松山區中崙里10鄰八德路二段366巷16號","305084.556",2771144.014,"臺北市","松山區","中崙里","10鄰"
"42270595","常安早餐坊","臺北市松山區八德路2段366巷20號1樓","R_cat","臺北市松山區中崙里10鄰八德路二段366巷20號","305084.744",2771136.42,"臺北市","松山區","中崙里","10鄰"
"25569938","妙芳鄰小吃店","臺北市松山區八德路2段366巷20號","R_cat","臺北市松山區中崙里10鄰八德路二段366巷20號","305084.744",2771136.42,"臺北市","松山區","中崙里","10鄰"
"48908571","橘魔法時尚小舖","臺北市松山區八德路2段366巷21之1號","R_cat","臺北市松山區中崙里9鄰八德路二段366巷21之1號","305098.622",2771099.655,"臺北市","松山區","中崙里","9鄰"
"26365525","太漁販日式小吃店","臺北市松山區八德路2段366巷30號2樓","R_cat","臺北市松山區中崙里10鄰八德路二段366巷30號","305085.213",2771117.575,"臺北市","松山區","中崙里","10鄰"
"99628362","第一香小吃店","臺北市松山區八德路2段366巷36號1樓","R_cat","臺北市松山區中崙里15鄰八德路二段366巷36號","305086.775",2771045.339,"臺北市","松山區","中崙里","15鄰"
