"admin","R_cat","P_cat","M_cat","max_cat"
"¤T²p¨½13¾F",1,2,0,"P_cat"
"¤T²p¨½14¾F",5,0,0,"R_cat"
"¤T²p¨½15¾F",3,4,0,"P_cat"
"¤T²p¨½16¾F",5,0,3,"R_cat"
"¤T²p¨½17¾F",7,2,0,"R_cat"
"¤T²p¨½18¾F",1,1,0,"R_cat"
"¤T²p¨½19¾F",1,1,0,"R_cat"
"¤T²p¨½1¾F",6,3,0,"R_cat"
"¤T²p¨½20¾F",3,2,2,"R_cat"
"¤T²p¨½21¾F",7,1,0,"R_cat"
"¤T²p¨½22¾F",47,46,12,"R_cat"
"¤T²p¨½23¾F",0,1,0,"P_cat"
"¤T²p¨½2¾F",3,0,2,"R_cat"
"¤T²p¨½4¾F",4,3,2,"R_cat"
"¤T²p¨½5¾F",1,1,0,"R_cat"
"¤T²p¨½6¾F",1,0,0,"R_cat"
"¤T²p¨½7¾F",5,4,4,"R_cat"
"¤T²p¨½9¾F",1,0,1,"R_cat"
"¤T·R¨½10¾F",3,2,0,"R_cat"
"¤T·R¨½11¾F",2,1,0,"R_cat"
"¤T·R¨½13¾F",4,4,3,"R_cat"
"¤T·R¨½14¾F",29,15,3,"R_cat"
"¤T·R¨½15¾F",20,13,4,"R_cat"
"¤T·R¨½16¾F",13,17,1,"P_cat"
"¤T·R¨½17¾F",23,12,4,"R_cat"
"¤T·R¨½18¾F",14,11,2,"R_cat"
"¤T·R¨½19¾F",7,2,0,"R_cat"
"¤T·R¨½1¾F",9,13,2,"P_cat"
"¤T·R¨½20¾F",1,1,0,"P_cat"
"¤T·R¨½21¾F",2,2,0,"P_cat"
"¤T·R¨½22¾F",0,1,1,"P_cat"
"¤T·R¨½23¾F",16,6,0,"R_cat"
"¤T·R¨½24¾F",13,6,0,"R_cat"
"¤T·R¨½25¾F",6,6,4,"R_cat"
"¤T·R¨½26¾F",1,2,0,"P_cat"
"¤T·R¨½27¾F",7,6,1,"R_cat"
"¤T·R¨½28¾F",2,0,0,"R_cat"
"¤T·R¨½29¾F",1,2,0,"P_cat"
"¤T·R¨½2¾F",4,2,1,"R_cat"
"¤T·R¨½3¾F",1,0,0,"R_cat"
"¤T·R¨½4¾F",1,2,0,"P_cat"
"¤T·R¨½5¾F",1,0,0,"R_cat"
"¤T·R¨½6¾F",1,0,0,"R_cat"
"¤T·R¨½7¾F",6,2,4,"R_cat"
"¤T·R¨½8¾F",11,2,2,"R_cat"
"¤T·R¨½9¾F",3,2,0,"R_cat"
"¤U°ñ¨½10¾F",8,4,1,"R_cat"
"¤U°ñ¨½11¾F",17,7,6,"R_cat"
"¤U°ñ¨½12¾F",10,4,2,"R_cat"
"¤U°ñ¨½13¾F",43,20,9,"R_cat"
"¤U°ñ¨½14¾F",10,3,2,"R_cat"
"¤U°ñ¨½15¾F",17,8,1,"R_cat"
"¤U°ñ¨½16¾F",11,5,3,"R_cat"
"¤U°ñ¨½17¾F",12,5,3,"R_cat"
"¤U°ñ¨½18¾F",12,1,3,"R_cat"
"¤U°ñ¨½19¾F",21,5,2,"R_cat"
"¤U°ñ¨½1¾F",111,108,9,"R_cat"
"¤U°ñ¨½20¾F",34,7,3,"R_cat"
"¤U°ñ¨½21¾F",27,5,3,"R_cat"
"¤U°ñ¨½2¾F",73,51,5,"R_cat"
"¤U°ñ¨½3¾F",16,6,5,"R_cat"
"¤U°ñ¨½4¾F",45,26,3,"R_cat"
"¤U°ñ¨½5¾F",16,7,7,"R_cat"
"¤U°ñ¨½6¾F",13,4,2,"R_cat"
"¤U°ñ¨½7¾F",8,1,2,"R_cat"
"¤U°ñ¨½8¾F",4,4,0,"P_cat"
"¤U°ñ¨½9¾F",7,6,1,"R_cat"
"¤j¤¯¨½10¾F",0,0,1,"M_cat"
"¤j¤¯¨½11¾F",9,3,1,"R_cat"
"¤j¤¯¨½12¾F",1,0,2,"M_cat"
"¤j¤¯¨½13¾F",1,0,1,"M_cat"
"¤j¤¯¨½14¾F",1,1,1,"R_cat"
"¤j¤¯¨½15¾F",1,1,0,"R_cat"
"¤j¤¯¨½16¾F",2,2,0,"P_cat"
"¤j¤¯¨½17¾F",2,1,0,"R_cat"
"¤j¤¯¨½18¾F",1,1,0,"P_cat"
"¤j¤¯¨½19¾F",6,1,2,"R_cat"
"¤j¤¯¨½1¾F",6,1,2,"R_cat"
"¤j¤¯¨½20¾F",3,0,3,"R_cat"
"¤j¤¯¨½28¾F",2,0,0,"R_cat"
"¤j¤¯¨½2¾F",1,2,0,"P_cat"
"¤j¤¯¨½3¾F",3,0,0,"R_cat"
"¤j¤¯¨½4¾F",2,0,0,"R_cat"
"¤j¤¯¨½5¾F",6,1,0,"R_cat"
"¤j¤¯¨½6¾F",3,2,2,"R_cat"
"¤j¤¯¨½8¾F",0,1,0,"P_cat"
"¤j¤¯¨½9¾F",6,2,0,"R_cat"
"¤j¤Ù¨½9¾F",1,1,0,"R_cat"
"¤j¦P¨½10¾F",2,1,0,"R_cat"
"¤j¦P¨½11¾F",11,4,1,"R_cat"
"¤j¦P¨½12¾F",27,4,5,"R_cat"
"¤j¦P¨½13¾F",23,7,7,"R_cat"
"¤j¦P¨½14¾F",7,0,2,"R_cat"
"¤j¦P¨½15¾F",42,15,4,"R_cat"
"¤j¦P¨½16¾F",11,2,1,"R_cat"
"¤j¦P¨½17¾F",4,2,3,"R_cat"
"¤j¦P¨½18¾F",7,2,1,"R_cat"
"¤j¦P¨½1¾F",9,1,1,"R_cat"
"¤j¦P¨½2¾F",3,1,1,"R_cat"
"¤j¦P¨½3¾F",1,0,0,"R_cat"
"¤j¦P¨½4¾F",10,1,3,"R_cat"
"¤j¦P¨½5¾F",16,4,4,"R_cat"
"¤j¦P¨½6¾F",8,3,2,"R_cat"
"¤j¦P¨½7¾F",8,5,2,"R_cat"
"¤j¦P¨½8¾F",6,0,0,"R_cat"
"¤j¦P¨½9¾F",8,2,3,"R_cat"
"¤j¦³¨½10¾F",38,19,6,"R_cat"
"¤j¦³¨½11¾F",5,1,0,"R_cat"
"¤j¦³¨½12¾F",1,1,1,"R_cat"
"¤j¦³¨½13¾F",28,5,0,"R_cat"
"¤j¦³¨½14¾F",13,2,0,"R_cat"
"¤j¦³¨½15¾F",19,5,1,"R_cat"
"¤j¦³¨½16¾F",14,3,4,"R_cat"
"¤j¦³¨½17¾F",24,4,2,"R_cat"
"¤j¦³¨½18¾F",22,5,2,"R_cat"
"¤j¦³¨½19¾F",22,5,2,"R_cat"
"¤j¦³¨½1¾F",92,1,2,"R_cat"
"¤j¦³¨½2¾F",16,3,1,"R_cat"
"¤j¦³¨½3¾F",2,0,0,"R_cat"
"¤j¦³¨½4¾F",20,3,0,"R_cat"
"¤j¦³¨½5¾F",4,3,1,"R_cat"
"¤j¦³¨½6¾F",6,5,1,"R_cat"
"¤j¦³¨½7¾F",7,1,1,"R_cat"
"¤j¦³¨½8¾F",16,4,1,"R_cat"
"¤j¦³¨½9¾F",7,1,2,"R_cat"
"¤j¨Î¨½1¾F",8,1,0,"R_cat"
"¤j¨Î¨½2¾F",5,2,3,"R_cat"
"¤j¨Î¨½3¾F",7,3,0,"R_cat"
"¤j¨Î¨½4¾F",3,0,0,"R_cat"
"¤j¨Î¨½5¾F",14,3,1,"R_cat"
"¤j¨Î¨½6¾F",6,0,0,"R_cat"
"¤j¨Î¨½8¾F",13,0,0,"R_cat"
"¤jª½¨½10¾F",3,2,0,"R_cat"
"¤jª½¨½11¾F",4,0,0,"R_cat"
"¤jª½¨½12¾F",6,3,0,"R_cat"
"¤jª½¨½13¾F",18,2,0,"R_cat"
"¤jª½¨½14¾F",3,1,0,"R_cat"
"¤jª½¨½15¾F",10,2,1,"R_cat"
"¤jª½¨½16¾F",6,1,0,"R_cat"
"¤jª½¨½17¾F",12,1,0,"R_cat"
"¤jª½¨½18¾F",12,2,2,"R_cat"
"¤jª½¨½19¾F",4,3,0,"R_cat"
"¤jª½¨½20¾F",8,0,0,"R_cat"
"¤jª½¨½21¾F",7,7,0,"P_cat"
"¤jª½¨½22¾F",1,1,0,"R_cat"
"¤jª½¨½23¾F",3,1,0,"R_cat"
"¤jª½¨½24¾F",3,0,0,"R_cat"
"¤jª½¨½25¾F",4,1,0,"R_cat"
"¤jª½¨½26¾F",5,1,2,"R_cat"
"¤jª½¨½27¾F",11,1,1,"R_cat"
"¤jª½¨½28¾F",0,1,0,"P_cat"
"¤jª½¨½29¾F",3,2,0,"R_cat"
"¤jª½¨½30¾F",5,4,1,"R_cat"
"¤jª½¨½31¾F",6,1,0,"R_cat"
"¤jª½¨½32¾F",9,2,0,"R_cat"
"¤jª½¨½33¾F",10,1,1,"R_cat"
"¤jª½¨½34¾F",9,4,1,"R_cat"
"¤jª½¨½35¾F",2,0,0,"R_cat"
"¤jª½¨½3¾F",4,4,2,"R_cat"
"¤jª½¨½4¾F",5,1,1,"R_cat"
"¤jª½¨½5¾F",4,1,1,"R_cat"
"¤jª½¨½6¾F",8,3,1,"R_cat"
"¤jª½¨½7¾F",6,2,1,"R_cat"
"¤jª½¨½9¾F",1,0,0,"R_cat"
"¤j´ò¨½10¾F",5,0,3,"R_cat"
"¤j´ò¨½11¾F",0,1,2,"M_cat"
"¤j´ò¨½12¾F",3,4,0,"P_cat"
"¤j´ò¨½13¾F",4,1,0,"R_cat"
"¤j´ò¨½14¾F",1,0,1,"R_cat"
"¤j´ò¨½15¾F",4,0,1,"R_cat"
"¤j´ò¨½16¾F",3,0,0,"R_cat"
"¤j´ò¨½17¾F",3,2,1,"R_cat"
"¤j´ò¨½18¾F",2,1,0,"R_cat"
"¤j´ò¨½19¾F",5,4,3,"R_cat"
"¤j´ò¨½1¾F",1,1,1,"R_cat"
"¤j´ò¨½21¾F",3,3,1,"P_cat"
"¤j´ò¨½22¾F",1,0,1,"M_cat"
"¤j´ò¨½23¾F",2,2,1,"P_cat"
"¤j´ò¨½24¾F",1,1,0,"P_cat"
"¤j´ò¨½25¾F",5,1,0,"R_cat"
"¤j´ò¨½2¾F",3,1,0,"R_cat"
"¤j´ò¨½3¾F",1,1,1,"P_cat"
"¤j´ò¨½4¾F",2,0,0,"R_cat"
"¤j´ò¨½7¾F",2,0,1,"R_cat"
"¤j´ò¨½8¾F",2,0,0,"R_cat"
"¤j´ò¨½9¾F",1,2,1,"P_cat"
"¤j¹D¨½10¾F",7,8,3,"P_cat"
"¤j¹D¨½11¾F",6,2,1,"R_cat"
"¤j¹D¨½12¾F",3,1,0,"R_cat"
"¤j¹D¨½13¾F",3,2,3,"R_cat"
"¤j¹D¨½14¾F",16,6,5,"R_cat"
"¤j¹D¨½15¾F",9,1,2,"R_cat"
"¤j¹D¨½16¾F",4,3,0,"R_cat"
"¤j¹D¨½17¾F",14,7,2,"R_cat"
"¤j¹D¨½18¾F",7,1,1,"R_cat"
"¤j¹D¨½19¾F",7,2,1,"R_cat"
"¤j¹D¨½1¾F",8,2,3,"R_cat"
"¤j¹D¨½20¾F",6,0,2,"R_cat"
"¤j¹D¨½21¾F",2,1,0,"R_cat"
"¤j¹D¨½22¾F",4,1,0,"R_cat"
"¤j¹D¨½2¾F",32,13,4,"R_cat"
"¤j¹D¨½3¾F",2,0,0,"R_cat"
"¤j¹D¨½4¾F",23,16,4,"R_cat"
"¤j¹D¨½5¾F",7,2,1,"R_cat"
"¤j¹D¨½6¾F",21,12,3,"R_cat"
"¤j¹D¨½7¾F",2,0,0,"R_cat"
"¤j¹D¨½8¾F",5,1,0,"R_cat"
"¤j¹D¨½9¾F",7,2,0,"R_cat"
"¤j¾Ç¨½10¾F",11,1,0,"R_cat"
"¤j¾Ç¨½11¾F",60,45,23,"R_cat"
"¤j¾Ç¨½12¾F",44,31,5,"R_cat"
"¤j¾Ç¨½13¾F",6,3,0,"R_cat"
"¤j¾Ç¨½14¾F",10,2,2,"R_cat"
"¤j¾Ç¨½15¾F",6,4,0,"R_cat"
"¤j¾Ç¨½16¾F",9,3,2,"R_cat"
"¤j¾Ç¨½17¾F",18,5,7,"R_cat"
"¤j¾Ç¨½18¾F",10,7,0,"R_cat"
"¤j¾Ç¨½19¾F",2,3,0,"P_cat"
"¤j¾Ç¨½1¾F",9,3,2,"R_cat"
"¤j¾Ç¨½20¾F",34,28,1,"R_cat"
"¤j¾Ç¨½21¾F",31,22,8,"R_cat"
"¤j¾Ç¨½22¾F",9,2,2,"R_cat"
"¤j¾Ç¨½23¾F",13,1,0,"R_cat"
"¤j¾Ç¨½24¾F",14,5,2,"R_cat"
"¤j¾Ç¨½2¾F",27,14,1,"R_cat"
"¤j¾Ç¨½3¾F",15,7,1,"R_cat"
"¤j¾Ç¨½4¾F",25,17,1,"R_cat"
"¤j¾Ç¨½5¾F",42,26,3,"R_cat"
"¤j¾Ç¨½6¾F",10,7,1,"R_cat"
"¤j¾Ç¨½7¾F",3,0,0,"R_cat"
"¤j¾Ç¨½8¾F",1,0,0,"R_cat"
"¤j¾Ç¨½9¾F",3,2,0,"R_cat"
"¤¤¤s¨½10¾F",23,16,6,"R_cat"
"¤¤¤s¨½11¾F",40,32,3,"R_cat"
"¤¤¤s¨½12¾F",73,46,6,"R_cat"
"¤¤¤s¨½13¾F",12,3,2,"R_cat"
"¤¤¤s¨½14¾F",30,24,9,"R_cat"
"¤¤¤s¨½15¾F",25,11,1,"R_cat"
"¤¤¤s¨½16¾F",6,0,0,"R_cat"
"¤¤¤s¨½17¾F",10,4,1,"R_cat"
"¤¤¤s¨½18¾F",8,2,1,"R_cat"
"¤¤¤s¨½19¾F",4,5,3,"P_cat"
"¤¤¤s¨½1¾F",56,23,8,"R_cat"
"¤¤¤s¨½20¾F",19,8,3,"R_cat"
"¤¤¤s¨½21¾F",15,6,2,"R_cat"
"¤¤¤s¨½23¾F",15,6,2,"R_cat"
"¤¤¤s¨½24¾F",4,3,1,"R_cat"
"¤¤¤s¨½25¾F",22,10,1,"R_cat"
"¤¤¤s¨½26¾F",23,13,9,"R_cat"
"¤¤¤s¨½2¾F",11,5,2,"R_cat"
"¤¤¤s¨½3¾F",9,3,2,"R_cat"
"¤¤¤s¨½4¾F",11,6,1,"R_cat"
"¤¤¤s¨½5¾F",38,15,5,"R_cat"
"¤¤¤s¨½6¾F",14,3,3,"R_cat"
"¤¤¤s¨½7¾F",9,2,1,"R_cat"
"¤¤¤s¨½8¾F",8,2,1,"R_cat"
"¤¤¤s¨½9¾F",67,30,8,"R_cat"
"¤¤¤ß¨½12¾F",2,0,0,"R_cat"
"¤¤¤ß¨½13¾F",4,0,1,"R_cat"
"¤¤¤ß¨½14¾F",1,1,1,"P_cat"
"¤¤¤ß¨½15¾F",20,7,0,"R_cat"
"¤¤¤ß¨½16¾F",7,2,2,"R_cat"
"¤¤¤ß¨½17¾F",22,10,6,"R_cat"
"¤¤¤ß¨½18¾F",1,1,0,"P_cat"
"¤¤¤ß¨½19¾F",4,2,0,"R_cat"
"¤¤¤ß¨½20¾F",0,2,0,"P_cat"
"¤¤¤ß¨½21¾F",3,0,2,"R_cat"
"¤¤¤ß¨½2¾F",35,15,6,"R_cat"
"¤¤¤ß¨½3¾F",13,4,0,"R_cat"
"¤¤¤ß¨½4¾F",0,1,0,"P_cat"
"¤¤¤ß¨½5¾F",5,3,0,"R_cat"
"¤¤¤ß¨½6¾F",1,0,1,"R_cat"
"¤¤¤ß¨½7¾F",3,1,0,"R_cat"
"¤¤¤ß¨½8¾F",1,0,0,"R_cat"
"¤¤¤ß¨½9¾F",3,2,0,"R_cat"
"¤¤¥¡¨½10¾F",162,103,23,"R_cat"
"¤¤¥¡¨½11¾F",21,1,3,"R_cat"
"¤¤¥¡¨½12¾F",33,22,3,"R_cat"
"¤¤¥¡¨½13¾F",9,4,1,"R_cat"
"¤¤¥¡¨½14¾F",9,3,0,"R_cat"
"¤¤¥¡¨½15¾F",7,0,0,"R_cat"
